Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
06b93e8a1797468edbe4e192e39d52d7b0bb7cbd,750481a932f9191960616c9eb1ffc8e1a225dcb0451a4a2f74f11f594c95c9453d079361b42f21ddb6b4f4759a4e45205952df55a90f37250695268f3f8dc19c,10/31/2021 12:00:00 AM,10/31/2021 12:15:00 AM,1183,0,,,6,28,18.56,4.18,0.00,0.00,22.74,Mobile,Flash Cab,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383)
0d439c6109749c11297e6e7649fdfe2dd78d87b5,6436b1ea087d8dd1c5b6393c8c3331353195b37673bfa29193e13df48096dee0d000a539e29ae747b828e217e5332d50473ff67e4f8ec5fbae89504eaf36e1f2,10/31/2021 12:00:00 AM,10/31/2021 12:00:00 AM,210,0.58,17031081600,17031081800,8,8,4.75,2.00,0.00,1.00,8.25,Credit Card,Flash Cab,41.892072635,-87.628874157,POINT (-87.6288741572 41.8920726347),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595)
2401c60723cbc6602d2eef8344969e88017c931a,ef61b7f5a0c63c64a80a8d2e450151dab754591f5d906bee1ed6c96f6e676201e82efe59b1f9eb88aa35d1a7988156d44f84b613638c8bdda00af986fb193a81,10/31/2021 12:00:00 AM,10/31/2021 12:15:00 AM,478,3.84,,,28,24,15.27,3.45,0.00,0.00,18.72,Mobile,City Service,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941)
2859a06150ad288bb0012d5cb21c0677e74b7b2a,081733cfac8b875281cda99f1a2a26c90464ef0d85f94da6ba0409b323d81e6daea3680df466c603d402b000ea76b09b9418f3e44f74f919d2880ba6220c9b26,10/31/2021 12:00:00 AM,10/31/2021 12:15:00 AM,532,2.58,,,8,7,9.75,10.00,0.00,0.00,20.25,Credit Card,Sun Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843)
2ccd33fc99e8bd4c0a8ec6c43684254d0a2ec586,b2a007b1410c7208af92ef3a97b87c0af4c3e7b49c2b765a39fccd2f06b2f836ed410f8507081389b033082d814a0ee5598e1fa925facbc5c0d20e13b7bc0e5a,10/31/2021 12:00:00 AM,10/31/2021 12:15:00 AM,195,0.82,17031833000,17031833100,28,28,5.25,2.00,0.00,0.00,7.75,Credit Card,City Service,41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),41.879066994,-87.657005027,POINT (-87.657005027 41.8790669938)
310a9efa465c19983fcd4174310ee25a1fd1cd3f,5af45eaec078152b0be7971172bb74df2e875424eff12da61af867d30848554ac365fe8272ad32bcfaaa354b7ed2f726dd6eea4d20e1155dad44168d2bdd277c,10/31/2021 12:00:00 AM,10/31/2021 12:15:00 AM,332,1.3,,,8,8,9.36,2.14,0.00,0.00,11.50,Mobile,24 Seven Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
35cf6307df5f2cbabdb86634bb113fee9a4019e3,f98ae5e71fdda8806710af321dce58002146886c013f411be2cd336e0c224e78ed85626eeee462f0d1f5e6b29a030514b95f7b1b8ca59888a10b52dfe55ddf99,10/31/2021 12:00:00 AM,10/31/2021 12:15:00 AM,466,1.54,,,7,7,7.25,0.00,0.00,0.00,7.25,Cash,Globe Taxi,41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843),41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843)
3b8cae56927cecfc7548d9114fc3d80f3106fc66,2f8d46355fd3b0b10047ddfe612950c2c020fb8db8e4b08e5711dc209b2cc935870d917faf312d1757df0f1918ee4062545bc92506e66dc5261a5b8f5e1579b0,10/31/2021 12:00:00 AM,10/31/2021 12:30:00 AM,1381,11.31,,,33,4,30.00,4.72,0.00,1.00,36.22,Credit Card,Flash Cab,41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585),41.975170943,-87.687515515,POINT (-87.6875155152 41.9751709433)
3ee506d117fb851069fe447164037e75efb15025,cb3bd991c2f7932527ef9d5f341674dfba53745f25fe3e05ded26ff578785bca01360ef8eed19863aff2222ef99561737af9d9a331981586e43c57b1d485c8e8,10/31/2021 12:00:00 AM,10/31/2021 12:15:00 AM,780,0.2,,,8,6,14.50,4.50,0.00,0.00,19.00,Credit Card,Blue Ribbon Taxi Association Inc.,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
448d72efa7e4bdf774d248c2fd3aaa4ade129e3d,0e4b7d65d1783bec4e8d024b4eb2ef8dc661af329a18f7a0a677c3e3caa661553fc0c70ac881b296d7b4831a8f0f34ad3879aac8d9ae2d5ffe62a1f8b43325ca,10/31/2021 12:00:00 AM,10/31/2021 12:15:00 AM,960,5.8,,,11,3,17.25,0.00,0.00,0.00,17.25,Cash,Taxi Affiliation Services,41.978829526,-87.771166703,POINT (-87.771166703 41.9788295262),41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197)
